GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,bierse.model,Model,474,0,28,0,126,0,45,0,31,0
JaCoCo Ant Example,bierse.model,ModelEvoSuiteTest,9,5,0,0,5,2,0,2,0,2
JaCoCo Ant Example,bierse.model,Drink,981,0,40,0,220,0,65,0,45,0
JaCoCo Ant Example,bierse.model,Settings,355,0,10,0,95,0,22,0,17,0
JaCoCo Ant Example,bierse.view,DefaultSettingsViewEvoSuiteTest,3,0,0,0,1,0,1,0,1,0
JaCoCo Ant Example,bierse.view,KeyMapComboBoxModel,10,130,5,8,5,35,5,10,0,3
JaCoCo Ant Example,bierse.view,DefaultInfoViewEvoSuiteTest,11,5,0,0,5,2,0,2,0,2
JaCoCo Ant Example,bierse.view,DefaultDrinkSellView.new DefaultTableModel() {...},28,0,4,0,7,0,5,0,3,0
JaCoCo Ant Example,bierse.view,DefaultDrinkSellView.new WindowAdapter() {...},13,0,0,0,4,0,2,0,2,0
JaCoCo Ant Example,bierse.view,DefaultDrinkSellViewEvoSuiteTest,3,0,0,0,1,0,1,0,1,0
JaCoCo Ant Example,bierse.view,RunningMessagePanel,21,110,3,3,7,27,4,6,2,5
JaCoCo Ant Example,bierse.view,DefaultDrinkSellView,602,0,14,0,110,0,20,0,13,0
JaCoCo Ant Example,bierse.view,DefaultInfoViewMouseListenerEvoSuiteTest,0,12,0,0,0,4,0,2,0,2
JaCoCo Ant Example,bierse.view,MyKeyMapEvoSuiteTest,0,34,0,0,0,10,0,3,0,3
JaCoCo Ant Example,bierse.view,RunningMessagePanelEvoSuiteTest,6,100,0,0,3,29,0,6,0,6
JaCoCo Ant Example,bierse.view,MyKeyMap,3,18,0,0,1,7,1,4,1,4
JaCoCo Ant Example,bierse.view,DefaultInfoView.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,bierse.view,KeyMapComboBoxModelEvoSuiteTest,0,91,0,0,0,35,0,10,0,10
JaCoCo Ant Example,bierse.view,DefaultSettingsView,986,0,20,0,214,0,34,0,24,0
JaCoCo Ant Example,bierse.view,DefaultInfoView,459,13,10,0,87,2,12,1,7,1
JaCoCo Ant Example,bierse.view,DefaultInfoViewMouseListener,82,13,4,0,20,4,9,1,7,1
JaCoCo Ant Example,bierse,Bierse,45,3,0,0,11,1,1,1,1,1
JaCoCo Ant Example,bierse,BierseEvoSuiteTest,0,8,0,0,0,3,0,2,0,2
JaCoCo Ant Example,bierse.controller,DefaultSettingsControllerEvoSuiteTest,0,28,0,0,0,6,0,2,0,2
JaCoCo Ant Example,bierse.controller,DefaultMenuController,28,20,2,2,7,7,4,2,2,2
JaCoCo Ant Example,bierse.controller,DrinkSellController,102,9,8,0,17,4,7,1,3,1
JaCoCo Ant Example,bierse.controller,TriggerThread,47,6,4,0,13,3,3,1,1,1
JaCoCo Ant Example,bierse.controller,DefaultTableModelController,36,15,5,1,6,7,3,2,0,2
JaCoCo Ant Example,bierse.controller,DefaultMenuControllerEvoSuiteTest,0,28,0,0,0,6,0,2,0,2
JaCoCo Ant Example,bierse.controller,TriggerThreadEvoSuiteTest,0,19,0,0,0,4,0,2,0,2
JaCoCo Ant Example,bierse.controller,DefaultSettingsController,206,33,22,4,43,10,14,2,1,2
JaCoCo Ant Example,bierse.controller,DrinkSellControllerEvoSuiteTest,0,14,0,0,0,4,0,2,0,2
JaCoCo Ant Example,bierse.controller,DefaultTableModelControllerEvoSuiteTest,6,62,0,0,3,14,0,3,0,3
